HELM
Cap	cap	War Hat	xap	Shako	uap
Wirt’s Leg	leg; 3,1
Horadric Malus	hdm; 2,1
Scroll of Inifuss 1	bks; 2,2
Scroll of Inifuss 2	bkd; 2,2
Book of Skill	ass; 2,2
Horadric Cube	box; 2,2
Horadric Scroll	tr1; 2,2
Staff of Kings	msf; 3,1
Viper Amulet	vip; 1,1
Horadric Staff	hst; 4,1
Potion of Life	xyz; 1,1
A Jade Figurine	j34; 2,1
The Golden Bird	g34; 2,1
Lam Esen’s Tome	bbb; 2,2
Gidbinn	g33; 3,1
Khalim’s Flail	qf1; 3,2
Khalim’s Will	qf2; 3,2
Khalim’s Eye	qey; 1,1
Khalim’s Heart	qhr; 1,1
Khalim’s Brain	qbr; 1,1
Mephisto’s Soulstone	mss; 1,1
Hellforge Hammr	hfh; 3,2
Malah’s Potion	ice; 1,1
Scroll of Resistance	tr2; 2,2

GEMS
Chipped Amethyst	gcv
Chipped Diamond	gcw
Chipped Emerald	gcg
Chipped Ruby	gcr
Chipped Saphire	gc
Chipped Skull	skc
Chipped Topaz	gcy
Flawed Amethyst	gfv
Flawed Diamond	gfw
Flawed Emerald	gfg
Flawed Ruby	gfr
Flawed Saphire	gfb
Flawed Skull	skf
Flawed Topaz	gfy
Amethyst	gsv
Diamond	gsw
Emerald	gsg
Ruby	gsr
Saphire	gsb
Skull	sku
Topaz	gsy
Flawless Amethyst	gzv
Flawless Diamond	glw
Flawless Emerald	glg
Flawless Ruby	glr
Flawless Saphire	glb
Flawless Skull	skl
Flawless Topaz	gly
Perfect Diamond	gpw
Perfect Amethyst	gpv
Perfect Sapphire	gpb
Perfect Topaz	gpy
Perfect Ruby	gpr
Perfect Skull	skz
Perfect Emerald	gpg

RUNES
El Rune	r01
Eld Rune	r02
Tir Rune	r03
Nef Rune	r04
Eth Rune	r05
Ith Rune	r06
Tal Rune	r07
Ral Rune	r08
Ort Rune	r09
Thul Rune	r10
Amn Rune	r11
Sol Rune	r12
Shael Rune	r13
Dol Rune	r14
Hel Rune	r15
Io Rune	r16
Lum Rune	r17
Ko Rune	r18
Fal Rune	r19
Lem Rune	r20
Pul Rune	r21
Um Rune	r22
Mal Rune	r23
Ist Rune	r24
Gul Rune	r25
Vex Rune	r26
Ohm Rune	r27
Lo Rune	r28
Sur Rune	r29
Ber Rune	r30
Jah Rune	r31
Cham Rune	r32
Zod Rune	r33

POTIONS
Antidote Potion	yps
Stamina Potion	vps
Thawing Potion	wms
Minor Healing Potion	hp1
Minor Mana Potion	mp1
Light Healing Potion	hp2
Light Mana Potion	mp2
Healing Potion	hp3
Mana Potion	mp3
Greater Healing Potion	hp4
Greater Mana Potion	mp4
Super Healing Potion	hp5
Super Mana Potion	mp5
Rejuv Potion	rvs
Full Rejuv Potion	rvl

CHARMS
Charm Small	cm1; 1,1
Charm Large	cm2; 2,1
Charm Grand	cm3; 3,1

SCROLLS
Identify Scroll	isc
Town Portal Scroll	tsc

TOMES
Tome of Town Portal	tbk
Tome of Identify	ibk

MISC
Arrows	aqv; 3,1
Bolts	cqv; 3,1
Jewel	jew; 1,1
Skeleton Key	key; 1,1
Amulet	amu; 1,1
gold	gld; 1,1
Ring	rin; 1,1
Ear	ear; 1,1
